from,to,weight,relationship,konfliktpotenzial,timedefinition
ef,be,3,1,99,1
ef,se,3,1,99,1
ef,rhs,4,1,99,1
ef,ah,3,1,99,7
ef,jh,4,1,99,1
ef,wh,4,1,99,1
ef,bh,4,1,99,1
ef,ks,3,3,99,1
ef,fs,1,2,99,1
ef,gn,3,3,99,1
ef,hs,1,2,99,1
ef,ms,1,2,99,1
ef,mf,4,1,1,1
ef,af,4,1,99,1
mf,afs,4,1,1,1
mf,hf,3,1,99,1
mf,rf,3,1,99,1
mf,hef,3,1,99,1
mf,ee,3,1,99,1
mf,be,4,1,99,1
mf,se,4,1,99,1
mf,rhs,4,1,1,1
mf,jh,4,1,99,1
mf,wh,4,1,99,1
mf,ks,3,3,99,1
mf,fs,1,2,99,1
mf,gn,4,3,99,1
mf,hs,3,3,99,1
mf,ms,3,3,99,1
af,afs,4,1,99,1
af,hf,3,1,99,1
af,rf,3,1,99,1
af,hef,3,1,99,1
af,ee,3,1,99,1
af,be,4,1,99,1
af,se,4,1,99,1
af,rhs,4,1,99,1
af,jh,4,1,99,1
af,wh,4,1,99,1
af,ks,3,3,99,1
af,fs,1,2,99,1
af,gn,4,3,99,1
af,hs,3,3,99,1
